"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PARTNO";"PRICE";"PROD_ID";"SPICEPREFIX";"SUPPLIER";"VALUE";
"BUZZ1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C2";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C3";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C4";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C5";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C6";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C8";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C9";"4u7/16V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C475KA88K";"";"";"";"";"";
"C10";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"unknown";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C11";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C13";"4u7/16V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C475KA88K";"";"";"";"";"";
"C14";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C15";"4u7/16V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C475KA88K";"";"";"";"";"";
"C16";"100n";"C0603-DASHES";"C0603-DASHES";"";"";"";"";"";"";"";"";"unknown";"";"";"GRM188R71H104KA93D";"";"";"";"";"";
"C17";"4u7/16V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C475KA88K";"";"";"";"";"";
"C18";"4u7/16V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C475KA88K";"";"";"";"";"";
